timestamp,data,mark
timestamp,data,mark
2024-11-06T19:31:56.141431300+08:00,182721857,"111
"
2024-11-06T19:31:56.242610114+08:00,182748977,"111
"
2024-11-06T19:31:58.316175039+08:00,182730801,"111
"
2024-11-06T19:31:58.417381261+08:00,182739745,"111
"
2024-11-06T19:31:58.518579539+08:00,182721857,"111
"
2024-11-06T19:31:58.619765446+08:00,182721857,"111
"
2024-11-06T19:31:58.720942150+08:00,182730801,"111
"
2024-11-06T19:31:58.822110983+08:00,182739745,"111
"
2024-11-06T19:31:58.923275557+08:00,182730801,"111
"
2024-11-06T19:31:59.024437242+08:00,182740033,"111
"
2024-11-06T19:31:59.125598946+08:00,182730801,"111
"
2024-11-06T19:31:59.226778409+08:00,182730801,"111
"
2024-11-06T19:32:02.028103703+08:00,182740033,"111
"
2024-11-06T19:32:02.129324166+08:00,182721857,"111
"
2024-11-06T19:32:02.230505611+08:00,182735425,"111
"
2024-11-06T19:32:02.331689351+08:00,182748977,"111
"
2024-11-06T19:32:02.432861851+08:00,182730801,"111
"
2024-11-06T19:32:02.534033222+08:00,182748977,"111
"
2024-11-06T19:32:02.635215499+08:00,182748977,"111
"
2024-11-06T19:32:02.736388962+08:00,182748977,"111
"
2024-11-06T19:32:02.837559110+08:00,182721857,"111
"
2024-11-06T19:32:02.938721888+08:00,182730801,"111
"
2024-11-06T19:32:04.629463646+08:00,182748977,"111
"
2024-11-06T19:32:04.730684739+08:00,182744657,"111
"
2024-11-06T19:32:04.831859220+08:00,182726481,"111
"
2024-11-06T19:32:04.933024146+08:00,182721857,"111
"
2024-11-06T19:32:05.034186683+08:00,182730801,"111
"
2024-11-06T19:32:05.135357850+08:00,182730801,"111
"
2024-11-06T19:32:05.236543701+08:00,182721857,"111
"
2024-11-06T19:32:05.337716683+08:00,182740033,"111
"
2024-11-06T19:32:05.438878424+08:00,182730801,"111
"
2024-11-06T19:32:05.540039109+08:00,182740033,"111
"
2024-11-06T19:32:07.879946070+08:00,182721857,"111
"
2024-11-06T19:32:07.981147459+08:00,182740033,"111
"
2024-11-06T19:32:08.082311589+08:00,182721857,"111
"
2024-11-06T19:32:08.183474218+08:00,182731089,"111
"
2024-11-06T19:32:08.284650163+08:00,182753601,"111
"
2024-11-06T19:32:08.385845014+08:00,182748977,"111
"
2024-11-06T19:32:08.487017885+08:00,182740033,"111
"
2024-11-06T19:32:08.588180829+08:00,182744657,"111
"
2024-11-06T19:32:08.689348570+08:00,182744657,"111
"
2024-11-06T19:32:08.790551033+08:00,182749265,"111
"
2024-11-06T19:32:14.874800492+08:00,182730801,"111
"
2024-11-06T19:32:14.976029881+08:00,182735713,"111
"
2024-11-06T19:32:15.077225992+08:00,182739745,"111
"
2024-11-06T19:32:15.178401807+08:00,182730801,"111
"
2024-11-06T19:32:15.279573714+08:00,182730801,"111
"
2024-11-06T19:32:15.380747973+08:00,182721857,"111
"
2024-11-06T19:32:15.481927899+08:00,182735425,"111
"
2024-11-06T19:32:15.583106788+08:00,182731089,"111
"
2024-11-06T19:32:15.684281455+08:00,182730801,"111
"
2024-11-06T19:32:15.785459177+08:00,182730801,"111
"
2024-11-06T19:32:37.740387034+08:00,184055681,"222
"
